"","df","category","group","variable","vtype","n","nc","prop_coherent"
"263","EGJAC","Lab","ldl","min <= mean","coherence",772,772,0.959844559585492
"264","EGJAC","Lab","ldl","mean <= max","coherence",772,772,0.97279792746114
"265","EGJAC","Lab","ldl","mindiff <= maxdiff","coherence",772,772,0.940414507772021
"266","all","Lab","lymph","min <= mean","coherence",2567069,2567069,0.908226463721856
"267","all","Lab","lymph","mean <= max","coherence",2567069,2567069,0.916516852488188
"268","all","Lab","lymph","mindiff <= maxdiff","coherence",2567069,2567069,0.941668494302257
"269","control","Lab","lymph","min <= mean","coherence",2564221,2564221,0.908206429945001
"270","control","Lab","lymph","mean <= max","coherence",2564221,2564221,0.916485747523322
"271","control","Lab","lymph","mindiff <= maxdiff","coherence",2564221,2564221,0.941655184947007
"272","cases","Lab","lymph","min <= mean","coherence",2848,2848,0.92626404494382
"273","cases","Lab","lymph","mean <= max","coherence",2848,2848,0.944522471910112
"274","cases","Lab","lymph","mindiff <= maxdiff","coherence",2848,2848,0.953651685393258
"275","EAC","Lab","lymph","min <= mean","coherence",2076,2076,0.923892100192678
"276","EAC","Lab","lymph","mean <= max","coherence",2076,2076,0.939788053949904
"277","EAC","Lab","lymph","mindiff <= maxdiff","coherence",2076,2076,0.955202312138728
"278","EGJAC","Lab","lymph","min <= mean","coherence",772,772,0.932642487046632
"279","EGJAC","Lab","lymph","mean <= max","coherence",772,772,0.957253886010363
"280","EGJAC","Lab","lymph","mindiff <= maxdiff","coherence",772,772,0.949481865284974
"281","all","Lab","mch","min <= mean","coherence",2567069,2567069,0.952171133693718
"282","all","Lab","mch","mean <= max","coherence",2567069,2567069,0.929260569154939
"283","all","Lab","mch","mindiff <= maxdiff","coherence",2567069,2567069,0.987327570859996
"284","control","Lab","mch","min <= mean","coherence",2564221,2564221,0.952157399849701
"285","control","Lab","mch","mean <= max","coherence",2564221,2564221,0.929236988543499
"286","control","Lab","mch","mindiff <= maxdiff","coherence",2564221,2564221,0.987318955737434
"287","cases","Lab","mch","min <= mean","coherence",2848,2848,0.964536516853933
"288","cases","Lab","mch","mean <= max","coherence",2848,2848,0.950491573033708
