"","df","category","group","variable","vtype","n","nc","propna","mean","sd","min","q25","median","q75","max","pvalue"
"339","imputed_cases","Lab","mcv","mcv_mean","continuous",2848,744,0.73876404494382,90.8112195934548,3.15632656845627,77.9318181818182,88.9975,91,92.7022727272727,99.125,0.530357913030952
"340","imputed_cases","Lab","mcv","mcv_max","continuous",2848,744,0.73876404494382,92.3214112903226,3.39962720981881,80.9,90,92.2,94.7,100,0.0170494242385445
"341","imputed_cases","Lab","mcv","mcv_min","continuous",2848,744,0.73876404494382,89.3504032258064,3.55006490169328,73,87.2,89.5,91.6,99.2,0.00102007880759024
"342","imputed_cases","Lab","mcv","mcv_maxdiff","continuous",2848,1001,0.648525280898876,0.0498188540698724,0.189013270979742,-0.0473684210526319,0.00298507462686567,0.00764525993883792,0.0175257731958763,1.90000000000001,7.93441072909875e-07
"343","imputed_cases","Lab","mcv","mcv_mindiff","continuous",2848,1001,0.648525280898876,-0.0431263239171611,0.240315955491863,-2.59999999999999,-0.015625,-0.00691244239631336,-0.00272277227722774,3.39999999999999,2.68466403468327e-06
"344","imputed_cases","Lab","mcv","mcv_tv","continuous",2848,1001,0.648525280898876,0.026355825444804,0.0720034995524372,0.000249376558603477,0.00447744989468656,0.00790440209229716,0.0155035513267221,1.07443586319284,7.95117249559451e-09
"345","imputed_cases","Lab","mono","mono_mean","continuous",2848,1284,0.549157303370786,1.03047724648183,1.49406820523421,0.17,0.5,0.6,0.775,11.6,0.00111826674867055
"346","imputed_cases","Lab","mono","mono_max","continuous",2848,1284,0.549157303370786,1.42567601246106,2.40220470623946,0.2,0.51,0.7,0.9,17,3.60895076075166e-07
"347","imputed_cases","Lab","mono","mono_min","continuous",2848,1284,0.549157303370786,0.679021028037383,1.20036361613348,0,0.4,0.5,0.6,12.8,0.0196697753968564
"348","imputed_cases","Lab","mono","mono_maxdiff","continuous",2848,1572,0.448033707865169,0.0565174826566554,0.506553865066116,-0.0628787878787879,0,0.000476190476190476,0.00182235195996664,9.09,1.28994895356446e-11
"349","imputed_cases","Lab","mono","mono_mindiff","continuous",2848,1572,0.448033707865169,-0.0280063688926732,0.224041772529933,-7,-0.00260897148828183,-0.000561797752808989,-0.000141343343077332,0.0543010752688172,2.68307214030965e-14
"350","imputed_cases","Lab","mono","mono_tv","continuous",2848,1572,0.448033707865169,0.0250142924753506,0.161558202978067,0,0.000125549426329643,0.000408330644510769,0.0021455086699519,3.66666666666667,3.36572345745297e-08
"351","imputed_cases","Lab","mpv","mpv_mean","continuous",2848,1174,0.587780898876405,9.26543704339564,1.11769450565891,6.7,8.41875,9.26666666666667,10.1138392857143,12.7,0.647097988195112
"352","imputed_cases","Lab","mpv","mpv_max","continuous",2848,1174,0.587780898876405,9.70970187393526,1.2173934622756,6.8,8.8,9.7,10.6,13.4,0.0336697349418201
"353","imputed_cases","Lab","mpv","mpv_min","continuous",2848,1174,0.587780898876405,8.72495996592845,1.16811188763218,5.438,7.9,8.6,9.5,13,0.131575993298376
"354","imputed_cases","Lab","mpv","mpv_maxdiff","continuous",2848,1383,0.51439606741573,0.0484028050441754,0.177583010530771,-0.0176470588235293,0.000798936170212765,0.00243161094224924,0.00754070819333162,2.2,1.05299836952238e-17
"355","imputed_cases","Lab","mpv","mpv_mindiff","continuous",2848,1383,0.51439606741573,-0.0444142974823272,0.1587737724255,-1.6,-0.00792508850062807,-0.00239234449760766,-0.00078408770716463,0.0584905660377358,4.32143385118903e-17
"356","imputed_cases","Lab","mpv","mpv_tv","continuous",2848,1383,0.51439606741573,0.0197722824304165,0.0543872735422485,0,0.00121946056199164,0.0025263898760661,0.00689190891351872,0.608825320924508,5.36772903864301e-16
"357","imputed_cases","Lab","neut","neut_mean","continuous",2848,1379,0.515800561797753,5.37061455626839,6.11067588256465,0.49,3.52,4.3025,5.37333333333333,78,5.44367707139044e-12
"358","imputed_cases","Lab","neut","neut_max","continuous",2848,1379,0.515800561797753,7.22823060188542,9.8733051229709,1.38,4.09,5.1,6.6,81,1.57781789588522e-19
"359","imputed_cases","Lab","neut","neut_min","continuous",2848,1379,0.515800561797753,4.22018419144307,5.98362437731811,0,2.78,3.5,4.255,72.6,0.0295354310949847
"360","imputed_cases","Lab","neut","neut_maxdiff","continuous",2848,1632,0.426966292134831,0.189715182526404,1.91255196391844,-2,0.000788436268068331,0.00342755039782844,0.0154343681917211,61.2,4.72475517730804e-15
"361","imputed_cases","Lab","neut","neut_mindiff","continuous",2848,1632,0.426966292134831,-0.205167329434866,2.36423476672737,-65.4,-0.0159288717867344,-0.00411946883882737,-0.00110144628099174,40,1.41527613261557e-15
"362","imputed_cases","Lab","neut","neut_tv","continuous",2848,1632,0.426966292134831,0.0739203334111865,0.437125504161952,0,0.00206368877060819,0.00451557171701397,0.0151615778280362,13.924924297044,2.97079187332075e-14
"363","imputed_cases","Lab","platelet","platelet_mean","continuous",2848,710,0.750702247191011,224.623267644837,47.2182939321163,103.12,191.125,220.785714285714,254.4375,405.333333333333,0.0936265380488185
"364","imputed_cases","Lab","platelet","platelet_max","continuous",2848,710,0.750702247191011,253.206478873239,61.2615343066885,132,211.25,245,283,617,7.04286463415486e-08
"365","imputed_cases","Lab","platelet","platelet_min","continuous",2848,710,0.750702247191011,199.517183098592,46.2496337097712,66,167,195,229,384,0.162665504546821
"366","imputed_cases","Lab","platelet","platelet_maxdiff","continuous",2848,958,0.663623595505618,1.19272514939354,5.90184152898461,-4,0.0337159804279285,0.0979846615153961,0.256129802984607,87,1.70225935862518e-28
"367","imputed_cases","Lab","platelet","platelet_mindiff","continuous",2848,958,0.663623595505618,-1.22343425922767,5.72225553913236,-78,-0.326370223209069,-0.125988173046997,-0.0531211317418214,0.175510204081633,3.12132248758794e-33
"368","imputed_cases","Lab","platelet","platelet_tv","continuous",2848,958,0.663623595505618,0.561984770681438,1.7184968670158,0.00264550264550265,0.0708572475625873,0.125021021538165,0.26756365887134,16.6583216413909,6.98415616905869e-34
"369","imputed_cases","Lab","wbc","wbc_mean","continuous",2848,710,0.750702247191011,7.02892193087937,1.53075187035349,3.26666666666667,5.97616666666667,6.82380952380952,7.91730769230769,13.05,2.92025927185548e-17
"370","imputed_cases","Lab","wbc","wbc_max","continuous",2848,710,0.750702247191011,8.28349295774648,2.38001787854777,3.7,6.685,7.9,9.3,24.3,1.54698447219356e-25
"371","imputed_cases","Lab","wbc","wbc_min","continuous",2848,710,0.750702247191011,5.98635211267606,1.33103173868319,1.97,5.1,5.825,6.8,12.2,1.19911143899756e-07
"372","imputed_cases","Lab","wbc","wbc_maxdiff","continuous",2848,957,0.663974719101124,0.0434926906797458,0.210151379575121,-0.00518134715025907,0.00175,0.00448179271708683,0.0115476190476191,3.18,1.28707243473444e-24
"373","imputed_cases","Lab","wbc","wbc_mindiff","continuous",2848,957,0.663974719101124,-0.0662689630655831,0.33847311099186,-4.8,-0.0134285714285714,-0.00518867924528302,-0.00228260869565217,0.024,2.05952973625756e-36
"374","imputed_cases","Lab","wbc","wbc_tv","continuous",2848,957,0.663974719101124,0.0302574949072251,0.108614133522187,0.000303030303030303,0.00296261746821448,0.00529206468388047,0.0120600707739736,1.21155373134328,2.65255941485955e-30
"375","imputed_cases","Lab","crp","crp_mean","continuous",2848,2598,0.0877808988764045,6.63675545455933,15.8837902696693,0.018,0.6,1.66,5.621425,178.7,0.000265464286129108
"376","imputed_cases","Lab","crp","crp_max","continuous",2848,2598,0.0877808988764045,9.46955111624326,24.3723818940985,0.009,0.6,1.8,7.07,235.9,4.34570146584462e-05
"377","imputed_cases","Lab","crp","crp_min","continuous",2848,2598,0.0877808988764045,5.49149372594303,16.0815857605297,0.007,0.5,1.15,4.2,242.99,0.0844556943170096
"378","imputed_cases","Lab","crp","crp_maxdiff","continuous",2848,2747,0.0354634831460674,-0.39033958769988,5.23775542292078,-29.4,-0.0252763819095477,-1.52439024390244e-05,0.0122448979591837,85.3,0.284448662613691
"379","imputed_cases","Lab","crp","crp_mindiff","continuous",2848,2747,0.0354634831460674,0.31947001193225,7.84268517209,-176.1,-0.0226811594202899,-0.000245901639344262,0.00978260869565217,42.69,0.0467995104338392
"380","imputed_cases","Lab","crp","crp_tv","continuous",2848,2747,0.0354634831460674,0.320532949814308,2.45640033527778,0,0.000182815356489945,0.00259493670886076,0.0285714285714286,66.2,0.222780557736278
"381","imputed_cases","Lab","alkphos","alkphos_mean","continuous",2848,866,0.695926966292135,75.1933114896678,18.1225376444441,31.5,62.0625,73,85.5,159,4.69523969159092e-06
"382","imputed_cases","Lab","alkphos","alkphos_max","continuous",2848,866,0.695926966292135,84.1836027713626,23.6736923123258,35,69,81,96,296,2.20266599691143e-10
"383","imputed_cases","Lab","alkphos","alkphos_min","continuous",2848,866,0.695926966292135,66.681870669746,16.6219649016051,23,55,65,76,131,0.0614976578877933
