"","df","category","group","variable","vtype","n","nc","propna","mean","sd","min","q25","median","q75","max","pvalue"
"86","observed_and_imputed","Lab","baso","baso_maxdiff","continuous",2567069,2567069,0,0.0571895987412462,2.16033917574199,-100,0,0,0.000272479564032698,100,8.87745266352244e-113
"87","imputed","Lab","baso","baso_maxdiff","continuous",2567069,1672807,0.348359159804431,0.0209633565409108,1.39585638742863,-0.9,0,0,8.10810810810811e-05,100,1.12595786636423e-295
"88","observed","Lab","baso","baso_mean","continuous",2567069,1208457,0.529246389559455,0.534482113702828,5.39424565653898,0,0,0.03,0.075,100,NA
"89","observed_and_imputed","Lab","baso","baso_mean","continuous",2567069,2567069,0,0.931876449216894,7.64422881502867,0,0,0.025,0.07,100,0
"90","imputed","Lab","baso","baso_mean","continuous",2567069,1358612,0.470753610440545,1.28535041125486,9.17948424797411,0,0,0.02,0.0666666666666667,100,0
"91","observed","Lab","baso","baso_min","continuous",2567069,1208457,0.529246389559455,0.257814453803486,4.23617072036479,0,0,0,0.03,100,NA
"92","observed_and_imputed","Lab","baso","baso_min","continuous",2567069,2567069,0,1.03792875041536,9.56934311331145,0,0,0,0.01,100,0
"93","imputed","Lab","baso","baso_min","continuous",2567069,1358612,0.470753610440545,1.73182412491572,12.4915740959388,0,0,0,0,100,0
"94","observed","Lab","baso","baso_mindiff","continuous",2567069,894262,0.651640840195569,-0.130704182626138,3.19920975410307,-100,-0.0010351966873706,-5.75373993095512e-05,0,100,NA
"95","observed_and_imputed","Lab","baso","baso_mindiff","continuous",2567069,2567069,0,-0.0525857957600422,1.97478272699459,-100,-0.00076,-8.47457627118644e-05,0,100,5.58509477646432e-161
"96","imputed","Lab","baso","baso_mindiff","continuous",2567069,1672807,0.348359159804431,-0.0108246691772091,0.712781517730216,-100,-0.000659630606860158,-9.63391136801541e-05,0,0.42,0
"97","observed","Lab","baso","baso_tv","continuous",2567069,894262,0.651640840195569,0.0324088338408926,0.854457741111989,0,0,0.00010989010989011,0.000726502923274891,100,NA
"98","observed_and_imputed","Lab","baso","baso_tv","continuous",2567069,2567069,0,0.132827175472609,2.31637275743684,0,0,0,0.000259069096278399,100,0
"99","imputed","Lab","baso","baso_tv","continuous",2567069,1672807,0.348359159804431,0.186509582961495,2.79917579844833,0,0,0,7.54147812971342e-05,66.6666666666667,0
"100","observed","Demographic","race","black","binary",2567069,2232306,0.130406701183334,0.168571871419062,0.374373421025574,0,0,0,0,1,NA
"101","observed_and_imputed","Demographic","race","black","binary",2567069,2567069,0,0.165910226799513,0.372000103965409,0,0,0,0,1,6.4385584801427e-15
"102","imputed","Demographic","race","black","binary",2567069,334763,0.869593298816666,0.148161535175632,0.355260568714342,0,0,0,0,1,1.37192166094308e-192
"103","observed","Demographic","bmi_weight","bmi","continuous",2567069,1689168,0.341985743273749,29.3024269350702,5.80305053837907,9.66470116968435,25.3810751834953,28.5821799307958,32.4240816326531,86.0472,NA
"104","observed_and_imputed","Demographic","bmi_weight","bmi","continuous",2567069,2567069,0,29.3253406053955,5.6842930539811,9.66470116968435,25.4945102040816,28.6136188271605,32.4106867283951,86.0472,5.45847874961871e-05
"105","imputed","Demographic","bmi_weight","bmi","continuous",2567069,877901,0.658014256726251,29.3694287641697,5.44824726663686,14.0631321006906,25.6810204081633,28.6668918918919,32.3745416873114,82.42675,3.27982384797709e-19
"106","observed","Lab","bun","bun_max","continuous",2567069,1622711,0.367874022864208,21.1685231689438,11.3601197474151,5,15,19,24,120,NA
"107","observed_and_imputed","Lab","bun","bun_max","continuous",2567069,2567069,0,20.3827433660724,9.95118675650238,5,15,18,23,120,0
"108","imputed","Lab","bun","bun_max","continuous",2567069,944358,0.632125977135792,19.0325207495463,6.67438665584847,5,15,18,22,119,0
"109","observed","Lab","bun","bun_maxdiff","continuous",2567069,1340695,0.477733165723243,0.681956272171086,2.36743228765953,-29,0.00869565217391304,0.0302197802197802,0.137931034482759,105,NA
"110","observed_and_imputed","Lab","bun","bun_maxdiff","continuous",2567069,2567069,0,0.40215188270118,1.76568750182283,-29,0.00821917808219178,0.023121387283237,0.0714285714285714,105,0
"111","imputed","Lab","bun","bun_maxdiff","continuous",2567069,1226374,0.522266834276757,0.0962644895076217,0.468586016943826,-5,0.0078740157480315,0.0191780821917808,0.0437158469945355,30,0
"112","observed","Lab","bun","bun_mean","continuous",2567069,1622711,0.367874022864208,16.8225147178177,6.81371853746389,5,12.5714285714286,15.6,19.4,118,NA
"113","observed_and_imputed","Lab","bun","bun_mean","continuous",2567069,2567069,0,16.5134660385388,6.19614058052019,5,12.6666666666667,15.5,19,118,0
"114","imputed","Lab","bun","bun_mean","continuous",2567069,944358,0.632125977135792,15.9824209355152,4.91325063595511,5,12.8,15.25,18.3333333333333,118,0
"115","observed","Lab","bun","bun_min","continuous",2567069,1622711,0.367874022864208,13.4732171964077,5.61274351576431,5,10,13,16,118,NA
"116","observed_and_imputed","Lab","bun","bun_min","continuous",2567069,2567069,0,13.0901170517816,5.45543869964921,5,9.1,12,16,118,0
"117","imputed","Lab","bun","bun_min","continuous",2567069,944358,0.632125977135792,12.4318276966998,5.10730576915181,5,9,12,15,118,0
"118","observed","Lab","bun","bun_mindiff","continuous",2567069,1340695,0.477733165723243,-0.96138887071967,3.43912375550441,-95,-0.142857142857143,-0.0285714285714286,-0.008,39,NA
"119","observed_and_imputed","Lab","bun","bun_mindiff","continuous",2567069,2567069,0,-0.562721447630488,2.55778007278564,-95,-0.0723684210526316,-0.0230769230769231,-0.00824175824175824,39,0
"120","imputed","Lab","bun","bun_mindiff","continuous",2567069,1226374,0.522266834276757,-0.126890762375784,0.632865235919317,-55,-0.0460526315789474,-0.0201342281879195,-0.00845665961945032,4,0
"121","observed","Lab","bun","bun_tv","continuous",2567069,1340695,0.477733165723243,0.223412397644757,0.651592282112567,0,0.00991702628599218,0.023314685403699,0.0830330796335973,39,NA
"122","observed_and_imputed","Lab","bun","bun_tv","continuous",2567069,2567069,0,0.154332823027605,0.506763736849463,0,0.0095958071820938,0.0202057631008543,0.0546093732427143,39,0
"123","imputed","Lab","bun","bun_tv","continuous",2567069,1226374,0.522266834276757,0.0788137397044563,0.249976090419786,0,0.00932406965015661,0.0179242141928709,0.0392684488052069,12.8,0
"124","observed","Lab","calc","calc_max","continuous",2567069,1518836,0.408338459153221,9.62705685801495,0.457114230042631,0.99,9.3,9.6,9.9,14,NA
"125","observed_and_imputed","Lab","calc","calc_max","continuous",2567069,2567069,0,9.60439275298015,0.432981205075342,0.99,9.3,9.6,9.9,14,0
"126","imputed","Lab","calc","calc_max","continuous",2567069,1048233,0.591661540846779,9.57155362405114,0.393097678904582,1.18,9.3,9.6,9.8,14,0
"127","observed","Lab","calc","calc_maxdiff","continuous",2567069,1218363,0.525387513931258,0.0669299841096867,0.244277537392898,-8.8,0.000738916256157637,0.00256410256410255,0.0111111111111111,12.9,NA
"128","observed_and_imputed","Lab","calc","calc_maxdiff","continuous",2567069,2567069,0,0.0369672219441244,0.175242388709706,-8.8,0.000539083557951481,0.00177514792899409,0.00533333333333334,12.9,0
"129","imputed","Lab","calc","calc_maxdiff","continuous",2567069,1348706,0.474612486068742,0.00990015113675714,0.0548051595864711,-1.1,0.000432900432900431,0.00137741046831956,0.00333333333333332,7.4,0
"130","observed","Lab","calc","calc_mean","continuous",2567069,1518836,0.408338459153221,9.3132617186274,0.39074011188425,0.99,9.075,9.3,9.55,13.5,NA
"131","observed_and_imputed","Lab","calc","calc_mean","continuous",2567069,2567069,0,9.31335099454895,0.366272328704038,0.99,9.1,9.3,9.53333333333333,13.7,0.816370224992826
"132","imputed","Lab","calc","calc_mean","continuous",2567069,1048233,0.591661540846779,9.31348035079282,0.327593462693706,1.18,9.1,9.3,9.51,13.7,0.638295048611241
"133","observed","Lab","calc","calc_min","continuous",2567069,1518836,0.408338459153221,8.98849480786602,0.5847862652551,0.3,8.7,9,9.3,13.5,NA
"134","observed_and_imputed","Lab","calc","calc_min","continuous",2567069,2567069,0,8.98756899015959,0.517038204712463,0.3,8.7,9,9.3,13.5,0.0959327183201671
"135","imputed","Lab","calc","calc_min","continuous",2567069,1048233,0.591661540846779,8.98622752765845,0.39895710112979,1.11,8.8,9,9.2,11.6,0.000553540757978198
