"","df","category","group","variable","vtype","n","nc","prop_coherent"
"257","observed_controls","Lab","crp","mean <= max","coherence",2564221,118524,1
"258","observed_controls","Lab","crp","mindiff <= maxdiff","coherence",2564221,36864,1
"259","observed_controls","Lab","alkphos","min <= mean","coherence",2564221,1540178,1
"260","observed_controls","Lab","alkphos","mean <= max","coherence",2564221,1540178,1
"261","observed_controls","Lab","alkphos","mindiff <= maxdiff","coherence",2564221,1218556,1
"262","observed_controls","Lab","alt","min <= mean","coherence",2564221,1601920,1
"263","observed_controls","Lab","alt","mean <= max","coherence",2564221,1601920,1
"264","observed_controls","Lab","alt","mindiff <= maxdiff","coherence",2564221,1300433,1
"265","observed_controls","Lab","ast","min <= mean","coherence",2564221,1580404,1
"266","observed_controls","Lab","ast","mean <= max","coherence",2564221,1580404,1
"267","observed_controls","Lab","ast","mindiff <= maxdiff","coherence",2564221,1274111,1
"268","observed_controls","Lab","totprot","min <= mean","coherence",2564221,1336863,1
"269","observed_controls","Lab","totprot","mean <= max","coherence",2564221,1336863,1
"270","observed_controls","Lab","totprot","mindiff <= maxdiff","coherence",2564221,1025635,1
"271","observed_controls","Lab","hdl","min <= mean","coherence",2564221,1548291,1
"272","observed_controls","Lab","hdl","mean <= max","coherence",2564221,1548291,1
"273","observed_controls","Lab","hdl","mindiff <= maxdiff","coherence",2564221,1213916,1
"274","observed_controls","Lab","ldl","min <= mean","coherence",2564221,1548144,1
"275","observed_controls","Lab","ldl","mean <= max","coherence",2564221,1548144,1
"276","observed_controls","Lab","ldl","mindiff <= maxdiff","coherence",2564221,1211860,1
"277","observed_controls","Lab","trig","min <= mean","coherence",2564221,1560795,1
"278","observed_controls","Lab","trig","mean <= max","coherence",2564221,1560795,1
"279","observed_controls","Lab","trig","mindiff <= maxdiff","coherence",2564221,1228487,1
"280","imputed_controls","Demographic","race","At most 1","coherence",2564221,334541,0.998421718115268
"281","imputed_controls","Demographic","smoke","At most 1","coherence",2564221,1102004,1
"282","imputed_controls","Medication","h2r","mean <= max","coherence",2564221,2339419,0.790182947133455
"283","imputed_controls","Medication","h2r","maxdiff <= max","coherence",2564221,2339419,0.963907705289219
"284","imputed_controls","Medication","ppi","mean <= max","coherence",2564221,2029931,0.770069031903055
"285","imputed_controls","Medication","ppi","maxdiff <= max","coherence",2564221,2029931,0.965366310480504
"286","imputed_controls","Lab","a1c","min <= mean","coherence",2564221,1531851,0.764531276214201
"287","imputed_controls","Lab","a1c","mean <= max","coherence",2564221,1531851,0.688614623746043
"288","imputed_controls","Lab","a1c","mindiff <= maxdiff","coherence",2564221,1883391,0.654231649190211
"289","imputed_controls","Lab","bun","min <= mean","coherence",2564221,943609,0.919675416406584
"290","imputed_controls","Lab","bun","mean <= max","coherence",2564221,943609,0.934291639863545
"291","imputed_controls","Lab","bun","mindiff <= maxdiff","coherence",2564221,1225451,0.973502816514083
"292","imputed_controls","Lab","calc","min <= mean","coherence",2564221,1047370,0.953991426143579
"293","imputed_controls","Lab","calc","mean <= max","coherence",2564221,1047370,0.908055414991837
"294","imputed_controls","Lab","calc","mindiff <= maxdiff","coherence",2564221,1347607,0.932676959974236
"295","imputed_controls","Lab","chlor","min <= mean","coherence",2564221,945670,0.977425528990028
"296","imputed_controls","Lab","chlor","mean <= max","coherence",2564221,945670,0.921922023538867
"297","imputed_controls","Lab","chlor","mindiff <= maxdiff","coherence",2564221,1229810,0.973558517169319
"298","imputed_controls","Lab","co2","min <= mean","coherence",2564221,941883,0.972991337565281
"299","imputed_controls","Lab","co2","mean <= max","coherence",2564221,941883,0.925398377505486
"300","imputed_controls","Lab","co2","mindiff <= maxdiff","coherence",2564221,1224252,0.97079686208395
"301","imputed_controls","Lab","creat","min <= mean","coherence",2564221,928993,0.944494737850554
"302","imputed_controls","Lab","creat","mean <= max","coherence",2564221,928993,0.87585374701424
"303","imputed_controls","Lab","creat","mindiff <= maxdiff","coherence",2564221,1205484,0.972973511054481
"304","imputed_controls","Lab","gluc","min <= mean","coherence",2564221,958148,0.881914902499405
"305","imputed_controls","Lab","gluc","mean <= max","coherence",2564221,958148,0.919457119359431
"306","imputed_controls","Lab","gluc","mindiff <= maxdiff","coherence",2564221,1248021,0.948307760846973
"307","imputed_controls","Lab","k","min <= mean","coherence",2564221,929491,0.974568876944478
"308","imputed_controls","Lab","k","mean <= max","coherence",2564221,929491,0.937167761710441
"309","imputed_controls","Lab","k","mindiff <= maxdiff","coherence",2564221,1209467,0.971147621224887
"310","imputed_controls","Lab","na","min <= mean","coherence",2564221,930978,0.98252375458926
