"","df","category","group","variable","vtype","n","nc","prop_coherent"
"121","new_cohort_imputed","Lab","k","min <= mean","coherence",2402933,2402933,0.880625885116231
"122","new_cohort_imputed","Lab","k","mean <= max","coherence",2402933,2402933,0.878225069113454
"123","new_cohort_imputed","Lab","k","mindiff <= maxdiff","coherence",2402933,2402933,0.974716315436177
"124","new_cohort_imputed","Lab","na","min <= mean","coherence",2402933,2402933,0.878403184774607
"125","new_cohort_imputed","Lab","na","mean <= max","coherence",2402933,2402933,0.888433426982775
"126","new_cohort_imputed","Lab","na","mindiff <= maxdiff","coherence",2402933,2402933,0.97520571734626
"127","new_cohort_imputed","Lab","baso","min <= mean","coherence",2402933,2402933,0.874181260983973
"128","new_cohort_imputed","Lab","baso","mean <= max","coherence",2402933,2402933,0.80248679426351
"129","new_cohort_imputed","Lab","baso","mindiff <= maxdiff","coherence",2402933,2402933,0.953360747053705
"130","new_cohort_imputed","Lab","eos","min <= mean","coherence",2402933,2402933,0.831428924568434
"131","new_cohort_imputed","Lab","eos","mean <= max","coherence",2402933,2402933,0.789326627084484
"132","new_cohort_imputed","Lab","eos","mindiff <= maxdiff","coherence",2402933,2402933,0.94648331851117
"133","new_cohort_imputed","Lab","hct","min <= mean","coherence",2402933,2402933,0.819872214497866
"134","new_cohort_imputed","Lab","hct","mean <= max","coherence",2402933,2402933,0.836665441774698
"135","new_cohort_imputed","Lab","hct","mindiff <= maxdiff","coherence",2402933,2402933,0.958607668212139
"136","new_cohort_imputed","Lab","lymph","min <= mean","coherence",2402933,2402933,0.808740401833925
"137","new_cohort_imputed","Lab","lymph","mean <= max","coherence",2402933,2402933,0.779892739414707
"138","new_cohort_imputed","Lab","lymph","mindiff <= maxdiff","coherence",2402933,2402933,0.942699193027854
"139","new_cohort_imputed","Lab","mch","min <= mean","coherence",2402933,2402933,0.81456162115215
"140","new_cohort_imputed","Lab","mch","mean <= max","coherence",2402933,2402933,0.815276996903368
"141","new_cohort_imputed","Lab","mch","mindiff <= maxdiff","coherence",2402933,2402933,0.958728770215399
"142","new_cohort_imputed","Lab","mchc","min <= mean","coherence",2402933,2402933,0.842653540485731
"143","new_cohort_imputed","Lab","mchc","mean <= max","coherence",2402933,2402933,0.852091589736376
"144","new_cohort_imputed","Lab","mchc","mindiff <= maxdiff","coherence",2402933,2402933,0.959245222401124
"145","new_cohort_imputed","Lab","mcv","min <= mean","coherence",2402933,2402933,0.806404090334604
"146","new_cohort_imputed","Lab","mcv","mean <= max","coherence",2402933,2402933,0.808211464905597
"147","new_cohort_imputed","Lab","mcv","mindiff <= maxdiff","coherence",2402933,2402933,0.95588682664061
"148","new_cohort_imputed","Lab","mono","min <= mean","coherence",2402933,2402933,0.818019062537324
"149","new_cohort_imputed","Lab","mono","mean <= max","coherence",2402933,2402933,0.780462875993629
"150","new_cohort_imputed","Lab","mono","mindiff <= maxdiff","coherence",2402933,2402933,0.943020467070867
"151","new_cohort_imputed","Lab","mpv","min <= mean","coherence",2402933,2402933,0.789808538149004
"152","new_cohort_imputed","Lab","mpv","mean <= max","coherence",2402933,2402933,0.789625844748896
"153","new_cohort_imputed","Lab","mpv","mindiff <= maxdiff","coherence",2402933,2402933,0.952481821174373
"154","new_cohort_imputed","Lab","neut","min <= mean","coherence",2402933,2402933,0.795370074821062
"155","new_cohort_imputed","Lab","neut","mean <= max","coherence",2402933,2402933,0.766830785544166
"156","new_cohort_imputed","Lab","neut","mindiff <= maxdiff","coherence",2402933,2402933,0.937471415141413
"157","new_cohort_imputed","Lab","platelet","min <= mean","coherence",2402933,2402933,0.822373324599562
"158","new_cohort_imputed","Lab","platelet","mean <= max","coherence",2402933,2402933,0.820787762288836
"159","new_cohort_imputed","Lab","platelet","mindiff <= maxdiff","coherence",2402933,2402933,0.958824902733451
"160","new_cohort_imputed","Lab","wbc","min <= mean","coherence",2402933,2402933,0.840544035143718
"161","new_cohort_imputed","Lab","wbc","mean <= max","coherence",2402933,2402933,0.832425207028244
"162","new_cohort_imputed","Lab","wbc","mindiff <= maxdiff","coherence",2402933,2402933,0.959986399953723
"163","new_cohort_imputed","Lab","crp","min <= mean","coherence",2402933,2402933,0.57494362098319
"164","new_cohort_imputed","Lab","crp","mean <= max","coherence",2402933,2402933,0.544924889707703
"165","new_cohort_imputed","Lab","crp","mindiff <= maxdiff","coherence",2402933,2402933,0.760675807440324
"166","new_cohort_imputed","Lab","alkphos","min <= mean","coherence",2402933,2402933,0.818577130531729
"167","new_cohort_imputed","Lab","alkphos","mean <= max","coherence",2402933,2402933,0.810907336991918
"168","new_cohort_imputed","Lab","alkphos","mindiff <= maxdiff","coherence",2402933,2402933,0.957746220972453
"169","new_cohort_imputed","Lab","alt","min <= mean","coherence",2402933,2402933,0.840582321687704
"170","new_cohort_imputed","Lab","alt","mean <= max","coherence",2402933,2402933,0.826077131572125
"171","new_cohort_imputed","Lab","alt","mindiff <= maxdiff","coherence",2402933,2402933,0.961316857357238
"172","new_cohort_imputed","Lab","ast","min <= mean","coherence",2402933,2402933,0.848993708938202
"173","new_cohort_imputed","Lab","ast","mean <= max","coherence",2402933,2402933,0.832763543552816
"174","new_cohort_imputed","Lab","ast","mindiff <= maxdiff","coherence",2402933,2402933,0.961922367373539
"175","new_cohort_imputed","Lab","totprot","min <= mean","coherence",2402933,2402933,0.822092001732882
"176","new_cohort_imputed","Lab","totprot","mean <= max","coherence",2402933,2402933,0.825186137108276
"177","new_cohort_imputed","Lab","totprot","mindiff <= maxdiff","coherence",2402933,2402933,0.953537614240597
"178","new_cohort_imputed","Lab","hdl","min <= mean","coherence",2402933,2402933,0.815486740579117
"179","new_cohort_imputed","Lab","hdl","mean <= max","coherence",2402933,2402933,0.810212769145041
"180","new_cohort_imputed","Lab","hdl","mindiff <= maxdiff","coherence",2402933,2402933,0.947683934591601
"181","new_cohort_imputed","Lab","ldl","min <= mean","coherence",2402933,2402933,0.830954088191389
"182","new_cohort_imputed","Lab","ldl","mean <= max","coherence",2402933,2402933,0.826918603223644
"183","new_cohort_imputed","Lab","ldl","mindiff <= maxdiff","coherence",2402933,2402933,0.948611134809002
"184","new_cohort_imputed","Lab","trig","min <= mean","coherence",2402933,2402933,0.83299492744908
"185","new_cohort_imputed","Lab","trig","mean <= max","coherence",2402933,2402933,0.814262403487738
"186","new_cohort_imputed","Lab","trig","mindiff <= maxdiff","coherence",2402933,2402933,0.948502101390259
"187","test_cohort_raw","Demographic","race","At most 1","coherence",2567069,2232306,0.998203203324275
"188","test_cohort_raw","Demographic","smoke","At most 1","coherence",2567069,1464224,1
"189","test_cohort_raw","Medication","h2r","mean <= max","coherence",2567069,163413,1
"190","test_cohort_raw","Medication","h2r","maxdiff <= max","coherence",2567069,163413,1
"191","test_cohort_raw","Medication","ppi","mean <= max","coherence",2567069,475472,1
"192","test_cohort_raw","Medication","ppi","maxdiff <= max","coherence",2567069,475471,1
"193","test_cohort_raw","Lab","a1c","min <= mean","coherence",2567069,911616,1
"194","test_cohort_raw","Lab","a1c","mean <= max","coherence",2567069,911616,1
"195","test_cohort_raw","Lab","a1c","mindiff <= maxdiff","coherence",2567069,541941,1
"196","test_cohort_raw","Lab","bun","min <= mean","coherence",2567069,1516305,1
"197","test_cohort_raw","Lab","bun","mean <= max","coherence",2567069,1516305,1
"198","test_cohort_raw","Lab","bun","mindiff <= maxdiff","coherence",2567069,1154820,1
"199","test_cohort_raw","Lab","calc","min <= mean","coherence",2567069,1401795,1
"200","test_cohort_raw","Lab","calc","mean <= max","coherence",2567069,1401795,1
"201","test_cohort_raw","Lab","calc","mindiff <= maxdiff","coherence",2567069,1035790,1
"202","test_cohort_raw","Lab","chlor","min <= mean","coherence",2567069,1510960,1
"203","test_cohort_raw","Lab","chlor","mean <= max","coherence",2567069,1510960,1
"204","test_cohort_raw","Lab","chlor","mindiff <= maxdiff","coherence",2567069,1146522,1
"205","test_cohort_raw","Lab","co2","min <= mean","coherence",2567069,1517309,1
"206","test_cohort_raw","Lab","co2","mean <= max","coherence",2567069,1517309,1
"207","test_cohort_raw","Lab","co2","mindiff <= maxdiff","coherence",2567069,1155452,1
"208","test_cohort_raw","Lab","creat","min <= mean","coherence",2567069,1534183,1
"209","test_cohort_raw","Lab","creat","mean <= max","coherence",2567069,1534183,1
"210","test_cohort_raw","Lab","creat","mindiff <= maxdiff","coherence",2567069,1177508,1
"211","test_cohort_raw","Lab","gluc","min <= mean","coherence",2567069,1498116,1
"212","test_cohort_raw","Lab","gluc","mean <= max","coherence",2567069,1498116,1
"213","test_cohort_raw","Lab","gluc","mindiff <= maxdiff","coherence",2567069,1133434,1
"214","test_cohort_raw","Lab","k","min <= mean","coherence",2567069,1531766,1
"215","test_cohort_raw","Lab","k","mean <= max","coherence",2567069,1531766,1
"216","test_cohort_raw","Lab","k","mindiff <= maxdiff","coherence",2567069,1172632,1
"217","test_cohort_raw","Lab","na","min <= mean","coherence",2567069,1530280,1
"218","test_cohort_raw","Lab","na","mean <= max","coherence",2567069,1530280,1
"219","test_cohort_raw","Lab","na","mindiff <= maxdiff","coherence",2567069,1167483,1
"220","test_cohort_raw","Lab","baso","min <= mean","coherence",2567069,1073308,1
"221","test_cohort_raw","Lab","baso","mean <= max","coherence",2567069,1073308,1
"222","test_cohort_raw","Lab","baso","mindiff <= maxdiff","coherence",2567069,704487,1
"223","test_cohort_raw","Lab","eos","min <= mean","coherence",2567069,1109421,1
"224","test_cohort_raw","Lab","eos","mean <= max","coherence",2567069,1109421,1
"225","test_cohort_raw","Lab","eos","mindiff <= maxdiff","coherence",2567069,728953,1
"226","test_cohort_raw","Lab","hct","min <= mean","coherence",2567069,1458175,1
"227","test_cohort_raw","Lab","hct","mean <= max","coherence",2567069,1458175,1
"228","test_cohort_raw","Lab","hct","mindiff <= maxdiff","coherence",2567069,1004765,1
"229","test_cohort_raw","Lab","lymph","min <= mean","coherence",2567069,1104962,1
"230","test_cohort_raw","Lab","lymph","mean <= max","coherence",2567069,1104962,1
"231","test_cohort_raw","Lab","lymph","mindiff <= maxdiff","coherence",2567069,728281,1
"232","test_cohort_raw","Lab","mch","min <= mean","coherence",2567069,1466535,1
"233","test_cohort_raw","Lab","mch","mean <= max","coherence",2567069,1466535,1
"234","test_cohort_raw","Lab","mch","mindiff <= maxdiff","coherence",2567069,1017772,1
"235","test_cohort_raw","Lab","mchc","min <= mean","coherence",2567069,1421059,1
"236","test_cohort_raw","Lab","mchc","mean <= max","coherence",2567069,1421059,1
"237","test_cohort_raw","Lab","mchc","mindiff <= maxdiff","coherence",2567069,980068,1
"238","test_cohort_raw","Lab","mcv","min <= mean","coherence",2567069,1442776,1
"239","test_cohort_raw","Lab","mcv","mean <= max","coherence",2567069,1442776,1
"240","test_cohort_raw","Lab","mcv","mindiff <= maxdiff","coherence",2567069,990029,1
"241","test_cohort_raw","Lab","mono","min <= mean","coherence",2567069,1050677,1
"242","test_cohort_raw","Lab","mono","mean <= max","coherence",2567069,1050677,1
"243","test_cohort_raw","Lab","mono","mindiff <= maxdiff","coherence",2567069,689826,1
"244","test_cohort_raw","Lab","mpv","min <= mean","coherence",2567069,1176895,1
"245","test_cohort_raw","Lab","mpv","mean <= max","coherence",2567069,1176895,1
