"","threshold","N","p","tp","tn","fp","fn","ppv","tpr","det_prev","spec","tr_by_14"
"44",215,2567069,366423,1253,2199051,365170,1595,0.341954517047238,43.9957865168539,14.2739832859966,85.7590277905064,15.3571428571429
"45",220,2567069,350423,1219,2215017,349204,1629,0.347865294230116,42.8019662921348,13.6507043636147,86.3816730305227,15.7142857142857
"46",225,2567069,335197,1182,2230206,334015,1666,0.352628454311942,41.502808988764,13.057576559103,86.97401667017,16.0714285714286
"47",230,2567069,320866,1146,2244501,319720,1702,0.357158439971826,40.2387640449438,12.4993134193121,87.5314959202035,16.4285714285714
"48",235,2567069,307190,1107,2258138,306083,1741,0.360363293075947,38.8693820224719,11.9665657604061,88.0633143555099,16.7857142857143
"49",240,2567069,294153,1073,2271141,293080,1775,0.3647761539063,37.6755617977528,11.4587103034628,88.5704079328576,17.1428571428571
"50",245,2567069,281623,1030,2283628,280593,1818,0.365737173455293,36.1657303370786,10.9706049973725,89.0573784396899,17.5
"51",250,2567069,270054,1007,2295174,269047,1841,0.372888385285906,35.3581460674157,10.5199353815577,89.5076516415707,17.8571428571429
"52",255,2567069,258802,978,2306397,257824,1870,0.377895070362671,34.3398876404494,10.0816144793926,89.94532842528,18.2142857142857
"53",260,2567069,248214,934,2316941,247280,1914,0.376288202921672,32.7949438202247,9.66915965250642,90.3565254320903,18.5714285714286
"54",265,2567069,237931,905,2327195,237026,1943,0.380362373965561,31.7766853932584,9.2685860800781,90.7564129612853,18.9285714285714
"55",270,2567069,228194,873,2336900,227321,1975,0.382569217420265,30.6530898876405,8.88928190087606,91.1348904794088,19.2857142857143
"56",275,2567069,218892,840,2346169,218052,2008,0.383750890850282,29.4943820224719,8.52692311737628,91.4963647829107,19.6428571428571
"57",280,2567069,210032,823,2355012,209209,2025,0.391845052182525,28.8974719101124,8.1817824141073,91.8412258537778,20
"58",285,2567069,201496,792,2363517,200704,2056,0.393059911859293,27.8089887640449,7.84926310901655,92.1729055334934,20.3571428571429
"59",290,2567069,193232,767,2371756,192465,2081,0.396932185145318,26.9311797752809,7.52733954560629,92.4942116923619,20.7142857142857
"60",295,2567069,185573,739,2379387,184834,2109,0.398226035037425,25.9480337078652,7.2289837164486,92.7918069464371,21.0714285714286
"61",300,2567069,178074,709,2386856,177365,2139,0.398149084088637,24.8946629213483,6.93686067651473,93.0830844923273,21.4285714285714
"62",320,2567069,151143,640,2413718,150503,2208,0.423440053459307,22.4719101123595,5.88776538534804,94.1306541050869,22.8571428571429
"63",340,2567069,128715,570,2436076,128145,2278,0.442838829973197,20.0140449438202,5.0140841558992,95.0025758310224,24.2857142857143
"64",360,2567069,109892,497,2454826,109395,2351,0.452262221089797,17.4508426966292,4.28083545864953,95.7337920561449,25.7142857142857
"65",380,2567069,94014,444,2470651,93570,2404,0.472270087433787,15.5898876404494,3.66230903805079,96.3509385501484,27.1428571428571
"66",400,2567069,80369,398,2484250,79971,2450,0.495215817043885,13.9747191011236,3.13076898205697,96.8812750539053,28.5714285714286
"67",420,2567069,68956,345,2495610,68611,2503,0.500319044028076,12.1137640449438,2.68617633573542,97.3242945908328,30
"68",440,2567069,59186,309,2505344,58877,2539,0.522082925016051,10.8497191011236,2.30558664375597,97.7039030567178,31.4285714285714
"69",460,2567069,50844,274,2513651,50570,2574,0.538903312091889,9.62078651685393,1.98062459559911,98.0278610930961,32.8571428571429
"70",480,2567069,43858,252,2520615,43606,2596,0.574581604268321,8.84831460674157,1.70848543611411,98.2994445486563,34.2857142857143
"71",500,2567069,37645,227,2526803,37418,2621,0.603001726656927,7.97050561797753,1.46645843956668,98.5407654020461,35.7142857142857
"72",550,2567069,25942,181,2538460,25761,2667,0.697710276771259,6.35533707865168,1.01056886277696,98.9953674039796,39.2857142857143
"73",600,2567069,18243,132,2546110,18111,2716,0.723565203091597,4.63483146067416,0.710654836313321,99.2937036238296,42.8571428571429
"74",650,2567069,12926,96,2551391,12830,2752,0.742689153643819,3.37078651685393,0.503531459419283,99.4996531110228,46.4285714285714
"75",700,2567069,9090,67,2555198,9023,2781,0.737073707370737,2.35252808988764,0.354100337778221,99.6481192533717,50
"76",750,2567069,6559,48,2557710,6511,2800,0.73181887482848,1.68539325842697,0.255505403243933,99.7460827284388,53.5714285714286
"77",800,2567069,4723,32,2559530,4691,2816,0.677535464746983,1.12359550561798,0.183984146900609,99.817059450024,57.1428571428571
"78",850,2567069,3477,23,2560767,3454,2825,0.661489790048893,0.807584269662921,0.135446300820118,99.8653002217828,60.7142857142857
"79",900,2567069,2560,20,2561681,2540,2828,0.78125,0.702247191011236,0.0997246275811052,99.9009445753701,64.2857142857143
"80",950,2567069,1936,17,2562302,1919,2831,0.878099173553719,0.59691011235955,0.0754167496082108,99.9251624567461,67.8571428571429
"81",1000,2567069,1483,13,2562751,1470,2835,0.876601483479434,0.456460674157303,0.057770165118273,99.9426726479504,71.4285714285714
